site_id,initial_N_rate,other_N,plantation_day,DTTD,SRAD,TMAX,TMIN,N_uptake,inorganic_N
8,120,133,52,16,12,26,22,25.3506,117.308214285714
8,120,133,53,20.81,14.2,39.6,20.7,25.461,100.7505
8,120,133,54,17.45,11.1,28.5,22.4,25.488,96.3777857142857
8,120,133,55,16.1,10.1,25.5,22.7,25.5915,96.6325
8,120,133,56,17.5,17.5,29,22,26.743,93.7341428571429
8,120,133,57,18.35,23.7,31.7,21,28.3689,84.4587857142857
8,120,133,58,16.5,12.1,29.4,19.6,28.5246,66.8441428571429
8,120,133,59,18.25,23.4,31,21.5,28.8876,62.4135
8,120,133,60,17,19.9,30.2,19.8,29.12,49.2904285714286
9,56,72,0,13.94,27.1,29,10.4,0,123.701758333333
9,56,72,1,15.58,27.2,29.3,14.2,0,124.191216666667
9,56,72,2,13.85,28.4,27.4,12.5,0,124.7916
9,56,72,3,14.72,23.5,28.1,14.6,0,125.386666666667
9,56,72,4,10.32,16.9,21.4,14.3,0,126.110783333333
9,56,72,6,10.76,23.8,23.8,11.1,0,129.013366666667
9,56,72,7,12.18,24,25.4,12.2,0.836,126.297175
9,56,72,8,13.31,10.3,25.2,16.9,0.836,133.026975
9,56,72,9,17.78,17.7,30.5,19.5,0.836,132.636975
9,56,72,11,18.56,27.5,31.8,17.9,0.836,129.754625
9,56,72,12,17.83,17.8,31.4,18.4,0.836,127.668041666667
9,56,72,13,18.18,21.2,31.4,18.7,0.832,133.490666666667
9,56,72,14,13.06,11,23.8,17.9,0.8424,124.475958333333
9,56,72,16,14.39,16.2,25.1,18.9,1.1798,119.945166666667
9,56,72,17,11.97,13.5,24.3,14.7,1.432,120.699958333333
9,56,72,18,9.98,28.9,21.6,11.8,1.6104,119.082483333333
9,56,72,19,4.55,6.5,14.6,10.4,1.833,117.940875
9,56,72,21,8.91,24.6,21.9,9.2,2.024,117.704325
9,56,72,22,9.6,21.1,22,11.3,2.2204,117.574066666667
9,56,72,23,10.97,10.5,22.9,14.5,2.4633,117.470475
9,56,72,24,14.41,16.5,26.2,17.5,2.736,117.531858333333
9,56,72,26,16.09,12.5,27.7,19.8,3.7296,117.928841666667
9,56,72,27,16.01,20.7,27.4,19.2,4.305,121.64405
9,56,72,28,17.75,26.1,30.4,18.3,4.81,117.011066666667
9,56,72,29,18.65,27.1,31.2,19.2,5.6604,114.788983333333
9,56,72,31,14.74,10.2,26.4,18.6,8.9147,108.292058333333
9,56,72,32,10.21,12.2,22.2,13.5,9.412,107.466266666667
9,56,72,33,9.3,22.1,21.2,11.6,10.0317,106.518833333333
9,56,72,34,11.32,15.6,24.3,13,10.9032,104.487675
9,56,72,36,13.18,3.2,26.8,15.7,12.5267,101.283358333333
9,56,72,37,20.6,16.6,32.3,23.8,14.5266,101.8694
9,56,72,38,20.25,26.4,33.2,23.3,16.7328,97.6652916666666
9,56,72,39,20,25.2,33.6,22.4,19.6945,94.6723916666667
9,56,72,41,14.5,27.5,28.7,16.3,24.1927,83.946625
9,56,72,42,17.35,24.4,32.8,17.9,27.0193,79.0588333333333
9,56,72,43,14.2,26.8,27.1,17.3,29.358,74.8455333333333
9,56,72,44,11.4,26.3,24.2,14.6,31.3248,69.0126583333333
9,56,72,46,12,25.9,26.6,13.4,35.5813,59.823
9,56,72,47,14.55,25.1,28.5,16.6,38.2689,53.9364166666667
9,56,72,48,16.95,25.8,31.1,18.8,41.5909,48.1759833333333
9,56,72,49,18.95,25.3,33,20.9,45.548,41.4583
9,56,72,51,15.75,22.3,29.4,18.1,51.5808,33.1160166666667
9,56,72,52,18.05,20.3,31.3,20.8,55.5788,24.7558666666667
9,56,72,53,19.55,20.4,32.6,22.5,59.7144,18.7221
9,56,72,54,19.35,23.7,32.6,22.1,62.6472,12.2816833333333
9,56,72,56,20.55,24.7,33.3,23.8,65.6352,7.29293333333333
9,56,72,57,19.2,18.2,31.4,23,66.8124,6.85334166666667
9,56,72,58,20.05,26.1,33.5,22.6,67.872,6.517425
9,56,72,59,20.34,24.9,34.2,22.5,69.042,6.35091666666667
